Rank,Address,City,ST,Zip,Bd/Ba,SqFt,Verified_ARV,Confidence,Platform_Value,Est_Repairs,OPENING_OFFER,Sec_Deposit_5pct(open),MAX_OFFER(MAO),Sec_Deposit_5pct(max),Days_to_Cancel,Days_to_Close,Auction_End,URL
1,5231 NW Iredell St,Port St. Lucie,FL,34986,5/4,3939,620000,high,380000,157560,146500,7325,266500,13325,10,30,"Tue, Jun 23, 2026 · 8:00 AM",https://federa.com/property/3452714000081676485
2,20804 Northwest 9th Path,Miami Gardens,FL,33169,3/2,1524,470000,high,270000,60960,142000,7100,258000,12900,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/8f693eaf-ffe9-4444-8e11-e50353267c35
3,1426 Southeast 24th Terrace,Homestead,FL,33035,3/2,1731,390000,high,150000,69240,106500,5325,194000,9700,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/fe6a5c1c-20dd-4cbd-b064-3de0b01cb444
4,530 Buckshot Ln,Lakeland,FL,33809,3/2,2103,380000,high,190000,84120,94500,4725,172000,8600,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/bdd43d19-6c8e-4840-9721-6b6a72967b72
5,6608 Northhaven Court,Riverview,FL,33578,3/2,1182,325000,high,150000,47280,93500,4675,170000,8500,10,30,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/19896f10-8420-43af-8800-8b3c313dce6d
6,364 Briar Bay Circle,Orlando,FL,32825,3/2,1351,330000,high,230000,54040,92000,4600,167000,8350,10,30,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/b1fb1cee-0fb7-4889-8fc5-d95a14c1e8e7
7,5902 Southeast Riverboat Drive,Stuart,FL,34997,2/2,1288,290000,high,150000,51520,78000,3900,141500,7075,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/12541c0f-959d-42a0-8e9f-bc7472a21713
8,750 Concord Lane,Lakeland,FL,33809,3/2,1643,298000,high,160000,65720,73000,3650,133000,6650,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/07570094-b039-48b6-9dc3-151a3c2c6310
9,425 Kensington View Drive,Winter Haven,FL,33880,3/2,1604,270000,high,160000,64160,63000,3150,115000,5750,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/f774ffcd-f2af-4f46-882e-ab0c87a0ec8b
10,5848 Windridge Dr,Winter Haven,FL,33881,4/3,3050,330000,high,210000,122000,54500,2725,99000,4950,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000080464713
11,343 Suzanne Dr,Kent,OH,44240,3/2,1988,245000,high,180000,79520,45000,2250,82000,4100,10,30,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/bbdb0ff8-bd6e-42a6-acea-59968fa6bcb5
12,440 37th Street Northwest,Canton,OH,44709,3/1,1272,185000,high,133800,50880,37500,1875,68500,3425,10,30,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/b0967d18-9bc0-4fbf-a686-3e55a88417e8
