Rank,Address,City,ST,Zip,Bd/Ba,SqFt,Verified_ARV,Confidence,Platform_Value,Est_Repairs,OPENING_OFFER,Sec_Deposit_5pct(open),MAX_OFFER(MAO),Sec_Deposit_5pct(max),Days_to_Cancel,Days_to_Close,Auction_End,URL
1,4817 Mark Way,Bartow,FL,33830,3/2,1320,185000,med,140000,52800,33000,1650,60000,3000,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/57d0ead4-ed42-4b4b-b3d4-ab5539313f67
2,4601 Anvers Boulevard,Jacksonville,FL,32210,3/2,1131,175000,med,130000,45240,33500,1675,61000,3050,10,30,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/2af53240-9b86-43b2-bc85-633ccdc80238
3,440 37th Street Northwest,Canton,OH,44709,3/1,1272,185000,high,133800,50880,37500,1875,68500,3425,10,30,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/b0967d18-9bc0-4fbf-a686-3e55a88417e8
4,12717 Woodchuck Way,Hudson,FL,34667,2/2,1176,195000,med,140000,47040,40000,2000,72500,3625,10,30,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/f947e72f-22b5-4183-a345-402ffbf383ee
5,3249 Trask Drive,Holiday,FL,34691,2/2,1156,200000,med,130000,46240,42000,2100,77000,3850,10,30,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/b4f95cd8-3ab0-453c-bc30-91b75fb4656a
6,1321 Fountainhead Drive,Deltona,FL,32725,3/1,1050,200000,med,120000,42000,44500,2225,81000,4050,10,30,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/2bf97bb2-f5c6-4be9-8c12-200f4f7ee13d
7,343 Suzanne Dr,Kent,OH,44240,3/2,1988,245000,high,180000,79520,45000,2250,82000,4100,10,30,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/bbdb0ff8-bd6e-42a6-acea-59968fa6bcb5
8,3921 West Cherry Street,Tampa,FL,33607,2/1,864,215000,low,140000,34560,48500,2425,88000,4400,10,30,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/3452714000084238550
9,5848 Windridge Dr,Winter Haven,FL,33881,4/3,3050,330000,high,210000,122000,54500,2725,99000,4950,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000080464713
10,246 Dinner Lake Place,Lake Wales,FL,33859,4/2,1726,270000,med,150000,69040,55500,2775,100500,5025,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/196ce1a7-013f-41f8-8229-b9e57c222c2c
11,1706 Shore Acres Drive,Lakeland,FL,33801,4/2,1535,270000,med,150000,61400,59500,2975,108000,5400,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/0e196452-1819-4021-936d-9ec555f24705
12,15745 NW 23rd Avenue Rd,Opa Locka,FL,33054,3/1,864,250000,low,155000,34560,60000,3000,109500,5475,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/1bacc43f-461a-40ea-a2e5-ce253b87d856
13,425 Kensington View Drive,Winter Haven,FL,33880,3/2,1604,270000,high,160000,64160,63000,3150,115000,5750,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/f774ffcd-f2af-4f46-882e-ab0c87a0ec8b
14,105 Burchwood Avenue,Plant City,FL,33563,3/2,1851,300000,med,210000,74040,63500,3175,115500,5775,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/4f9f315f-2957-4d35-a446-20e5910b5768
15,8747 Wolf Den Trail,Port Richey,FL,34668,4/2,1851,300000,med,170000,74040,63500,3175,115500,5775,10,30,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/3452714000078944987
16,147 Tracy Circle,Haines City,FL,33844,3/2,1753,295000,med,180000,70120,64000,3200,116000,5800,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/9001ff9c-58af-41da-b8a8-6e37a2121710
17,8047 Echo Springs Rd,Jacksonville,FL,32256,3/2,1502,290000,med,170000,60080,67500,3375,123000,6150,10,30,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/547471b7-4c9f-48f3-aafd-81f7b263a2da
18,11925 Cedarfield Drive,Riverview,FL,33579,3/2,1641,300000,med,190000,65640,68000,3400,124000,6200,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/885fe623-052b-43aa-bd2e-70698f3c3859
19,3608 Tam Drive,Orlando,FL,32808,4/2,1463,290000,med,160000,58520,68500,3425,124500,6225,10,30,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/54430e58-fcb7-469a-a4be-bf8c14847158
20,12725 Sunland Ct,Tampa,FL,33625,3/2,1672,310000,med,200000,66880,71000,3550,129500,6475,10,30,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/8688a636-fcd2-4e0b-9366-c27a2b50acdf
21,1810 Pine Oak Trail,Sanford,FL,32773,2/2,1214,285000,med,150000,48560,72000,3600,131000,6550,10,30,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/c871f50f-f68c-4742-8cd5-98186f06bcb8
22,750 Concord Lane,Lakeland,FL,33809,3/2,1643,298000,high,160000,65720,73000,3650,133000,6650,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/07570094-b039-48b6-9dc3-151a3c2c6310
23,335 San Gabriel Street,Winter Springs,FL,32708,3/2,1089,290000,med,150000,43560,76500,3825,139500,6975,10,30,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/d0370d84-5505-4187-bb3a-2c7a7943f77c
24,5902 Southeast Riverboat Drive,Stuart,FL,34997,2/2,1288,290000,high,150000,51520,78000,3900,141500,7075,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/12541c0f-959d-42a0-8e9f-bc7472a21713
25,3131 Juniper Drive,Edgewater,FL,32141,3/2,1560,325000,med,180000,62400,79000,3950,143500,7175,10,30,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/5a6f0939-efb4-4d21-9667-920d57ee3d94
