Rank,Address,City,ST,Zip,Type,Bd/Ba,SqFt,Listed_Value(ARV),Est_Repairs,MAX_OFFER(MAO),Security_Deposit_5pct,Days_to_Cancel,Days_to_Close,Watchers,Auction_End,URL
1,17029 Teton River Road,Boca Raton,FL,33496,Single Family Home,5/5,3687,2200000,129045,1401000,70050,10,30,78,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/3452714000072998051
2,17875 Collins Avenue Unit 1203,Sunny Isles Beach,FL,33160,Condominium,2/2,2035,1480000,71225,955000,47750,10,30,91,"Wed, Jun 24, 2026 · 9:00 AM",https://federa.com/property/3452714000083100013
3,5104 West Evelyn Drive,Tampa,FL,33609,"4,820 sqft",5/7,4820,1270000,168700,710500,35525,10,30,107,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/f0984711-d08a-463e-a77a-2df621b997f7
4,20 Oakdale Street,Windermere,FL,34786,Single Family,4/4,2188,890000,76580,536500,26825,10,30,82,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/8fdad52a-9bf9-4548-bde9-66f4b03a3aff
5,8824 COBBLESTONE POINT CIR,Boynton Beach,FL,33472,Single Family Home,5/3,4395,840000,153825,424000,21200,10,30,108,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/3452714000075217069
6,8330 NW 53rd St,Lauderhill,FL,33351,Single Family,3/2,1849,500000,64715,275500,13775,10,30,81,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/0dfef1fe-06be-4ed0-821d-01ddbeabd6fc
7,12244 Castle Pines Road,Boynton Beach,FL,33437,Single Family,3/2,1870,469900,65450,253500,12675,10,30,70,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/f7a3fe5b-17ca-4ff6-8a32-f229dc24b0f5
8,18480 Southwest 77th Court,Cutler Bay,FL,33157,Single Family Home,4/3,3149,520000,110215,244000,12200,10,30,83,"Tue, Jun 23, 2026 · 9:00 AM",https://federa.com/property/3452714000085710046
9,7020 NE 5th Ave,Miami,FL,33138,Single Family Home,2/2,1227,410000,42945,234000,11700,10,30,89,"Tue, Jun 23, 2026 · 9:00 AM",https://federa.com/property/dea5cc7f-2f95-43ea-b28f-af5663eb31e0
10,2940 Northwest 214th Street,Miami Gardens,FL,33056,Single Family Home,3/2,3606,500000,126210,214000,10700,10,30,21,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/1e2d67a2-6382-4316-9142-e78ccd99e48d
11,17711 Foxwood Way,Boca Raton,FL,33487,Single Family Home,3/2,1614,396125,56490,211000,10550,10,30,107,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/8bcf6a40-9530-40a5-a3ab-2c594e240cc8
12,1037 N Bay Dr,Lynn Haven,FL,32444,Single Family Home,3/2,2211,410000,77385,199500,9975,10,30,80,"Mon, Jun 22, 2026 · 12:00 PM",https://federa.com/property/78a4b060-de88-47b0-a99c-cdec11807983
13,13712 Halliford Dr,Tampa,FL,33624,Single Family Home,3/3,3295,460000,115325,196500,9825,10,30,112,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/84c4c1aa-0dc4-4d81-949a-dd47f03f39b8
14,548 Northwest 54th Street,Boca Raton,FL,33487,Single Family Home,3/2,1447,349000,50645,183500,9175,10,30,,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/c45d14d2-9d61-4448-83a9-d56b20f02a84
15,7590 SW 127th Dr,Miami,FL,33183,Single Family Home,3/2,1612,340000,56420,171500,8575,10,30,21,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000074492214
16,4520 45th Way,West Palm Beach,FL,33407,Townhouse,2/2,1236,315000,43260,167000,8350,10,30,79,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/20e5f558-57cc-4e0d-8926-476bf276b071
17,5151 Collins Avenue Unit 1519,Miami Beach,FL,33140,Condominium,2/2,1030,300000,36050,164000,8200,10,30,50,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000067377375
18,2661 Laguna Way,Miramar,FL,33025,Single Family Home,3/2,1879,340900,65765,163000,8150,10,30,77,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000062174306
19,8451 Southwest 35th Terrace,Miami,FL,33155,Single Family Home,3/2,1781,320000,62335,151500,7575,10,30,33,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/981aadfc-ac6a-457c-86f8-305f492a0b31
20,1447 Dunbrooke Loop,Longwood,FL,32779,Single Family Home,4/3,3487,400000,122045,148000,7400,10,30,74,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/dac9a08b-ee3a-461c-b25e-c89bcda397ab
21,3058 Brandywine Drive,Orlando,FL,32806,Single Family Home,4/2,2289,320000,80115,134000,6700,10,30,82,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/cf71596e-9172-42e8-910e-73fd063f3932
22,10070 Brodbeck Boulevard,Orlando,FL,32832,Single Family Home,5/3,2740,340000,95900,132000,6600,10,30,109,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/3452714000074120777
23,20804 Northwest 9th Path,Miami Gardens,FL,33169,Townhouse,3/2,1524,270000,53340,125500,6275,10,30,28,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/8f693eaf-ffe9-4444-8e11-e50353267c35
24,11811 Gilmerton Drive,Riverview,FL,33579,Single Family Home,6/4,5154,450000,180390,124500,6225,10,30,110,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/33f15de9-c761-40a0-8efa-8aad77d0077c
25,636 Sunset Drive South,Saint Petersburg,FL,33707,Single Family Home,5/3,3105,340000,108675,119500,5975,10,30,80,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000070072273
26,5231 NW Iredell St,Port St. Lucie,FL,34986,Single Family Home,5/4,3939,380000,137865,118000,5900,10,30,92,"Tue, Jun 23, 2026 · 8:00 AM",https://federa.com/property/3452714000081676485
27,3532 John Moore Rd,Brandon,FL,33511,Single Family Home,3/2,1428,250000,49980,115000,5750,10,30,116,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/3452714000081188034
28,14445 Southwest 20th Street,Miami,FL,33175,Single Family Home,4/4,2649,310000,92715,114500,5725,10,30,26,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000078376875
29,601 Southeast 37th Place,Homestead,FL,33033,Single Family Home,4/2,2340,290000,81900,111000,5550,10,30,53,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000081947116
30,1685 SE 8th Ave,Homestead,FL,33034,Townhouse,3/2,1628,250000,56980,108000,5400,10,30,27,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000082715088
31,6802 Arbor Oaks Drive,Bradenton,FL,34209,Single Family,3/2,1844,260000,64540,107500,5375,10,30,86,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/6e729a1d-b801-4495-aed6-acdbd14c954d
32,8452 Southwest 29th Street Unit 105 Unit 105,Miramar,FL,33025,Condominium,3/2,1669,250000,58415,106500,5325,10,30,78,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000077903361
33,2615 Royal Oaks Drive,Tallahassee,FL,32309,Single Family,3/3,2346,280000,82110,104000,5200,10,30,90,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/468e0879-8ac2-4e65-bee7-75bc2470cfa6
34,364 Briar Bay Circle,Orlando,FL,32825,Single Family Home,3/2,1351,230000,47285,103500,5175,10,30,81,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/b1fb1cee-0fb7-4889-8fc5-d95a14c1e8e7
35,1251 Summit Run Circle,West Palm Beach,FL,33415,Single Family Home,2/2,1176,217500,41160,101000,5050,10,30,78,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/3452714000070587643
