Rank,Address,City,ST,Zip,Bd/Ba,SqFt,Listed_ARV,Est_Repairs,OPENING_OFFER,Sec_Deposit_5pct(open),MAX_OFFER(MAO),Sec_Deposit_5pct(max),Days_to_Cancel,Days_to_Close,Watchers,Auction_End,URL
1,8330 NW 53rd St,Lauderhill,FL,33351,3/2,1849,500000,64715,151500,7575,275500,13775,10,30,81,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/0dfef1fe-06be-4ed0-821d-01ddbeabd6fc
2,12244 Castle Pines Road,Boynton Beach,FL,33437,3/2,1870,469900,65450,139500,6975,253500,12675,10,30,70,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/f7a3fe5b-17ca-4ff6-8a32-f229dc24b0f5
3,18480 Southwest 77th Court,Cutler Bay,FL,33157,4/3,3149,520000,110215,134000,6700,244000,12200,10,30,83,"Tue, Jun 23, 2026 · 9:00 AM",https://federa.com/property/3452714000085710046
4,7020 NE 5th Ave,Miami,FL,33138,2/2,1227,410000,42945,128500,6425,234000,11700,10,30,89,"Tue, Jun 23, 2026 · 9:00 AM",https://federa.com/property/dea5cc7f-2f95-43ea-b28f-af5663eb31e0
5,2940 Northwest 214th Street,Miami Gardens,FL,33056,3/2,3606,500000,126210,117500,5875,214000,10700,10,30,21,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/1e2d67a2-6382-4316-9142-e78ccd99e48d
6,17711 Foxwood Way,Boca Raton,FL,33487,3/2,1614,396125,56490,116000,5800,211000,10550,10,30,107,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/8bcf6a40-9530-40a5-a3ab-2c594e240cc8
7,1037 N Bay Dr,Lynn Haven,FL,32444,3/2,2211,410000,77385,110000,5500,199500,9975,10,30,80,"Mon, Jun 22, 2026 · 12:00 PM",https://federa.com/property/78a4b060-de88-47b0-a99c-cdec11807983
8,13712 Halliford Dr,Tampa,FL,33624,3/3,3295,460000,115325,108000,5400,196500,9825,10,30,112,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/84c4c1aa-0dc4-4d81-949a-dd47f03f39b8
9,548 Northwest 54th Street,Boca Raton,FL,33487,3/2,1447,349000,50645,101000,5050,183500,9175,10,30,0,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/c45d14d2-9d61-4448-83a9-d56b20f02a84
10,7590 SW 127th Dr,Miami,FL,33183,3/2,1612,340000,56420,94500,4725,171500,8575,10,30,21,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000074492214
11,4520 45th Way,West Palm Beach,FL,33407,2/2,1236,315000,43260,92000,4600,167000,8350,10,30,79,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/20e5f558-57cc-4e0d-8926-476bf276b071
12,2661 Laguna Way,Miramar,FL,33025,3/2,1879,340900,65765,89500,4475,163000,8150,10,30,77,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000062174306
13,8451 Southwest 35th Terrace,Miami,FL,33155,3/2,1781,320000,62335,83500,4175,151500,7575,10,30,33,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/981aadfc-ac6a-457c-86f8-305f492a0b31
14,1447 Dunbrooke Loop,Longwood,FL,32779,4/3,3487,400000,122045,81500,4075,148000,7400,10,30,74,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/dac9a08b-ee3a-461c-b25e-c89bcda397ab
15,3058 Brandywine Drive,Orlando,FL,32806,4/2,2289,320000,80115,73500,3675,134000,6700,10,30,82,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/cf71596e-9172-42e8-910e-73fd063f3932
16,10070 Brodbeck Boulevard,Orlando,FL,32832,5/3,2740,340000,95900,72500,3625,132000,6600,10,30,109,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/3452714000074120777
17,20804 Northwest 9th Path,Miami Gardens,FL,33169,3/2,1524,270000,53340,69000,3450,125500,6275,10,30,28,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/8f693eaf-ffe9-4444-8e11-e50353267c35
18,11811 Gilmerton Drive,Riverview,FL,33579,6/4,5154,450000,180390,68500,3425,124500,6225,10,30,110,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/33f15de9-c761-40a0-8efa-8aad77d0077c
19,636 Sunset Drive South,Saint Petersburg,FL,33707,5/3,3105,340000,108675,65500,3275,119500,5975,10,30,80,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000070072273
20,5231 NW Iredell St,Port St. Lucie,FL,34986,5/4,3939,380000,137865,65000,3250,118000,5900,10,30,92,"Tue, Jun 23, 2026 · 8:00 AM",https://federa.com/property/3452714000081676485
21,3532 John Moore Rd,Brandon,FL,33511,3/2,1428,250000,49980,63500,3175,115000,5750,10,30,116,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/3452714000081188034
22,14445 Southwest 20th Street,Miami,FL,33175,4/4,2649,310000,92715,63000,3150,114500,5725,10,30,26,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000078376875
23,601 Southeast 37th Place,Homestead,FL,33033,4/2,2340,290000,81900,61000,3050,111000,5550,10,30,53,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000081947116
24,1685 SE 8th Ave,Homestead,FL,33034,3/2,1628,250000,56980,59500,2975,108000,5400,10,30,27,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000082715088
25,6802 Arbor Oaks Drive,Bradenton,FL,34209,3/2,1844,260000,64540,59000,2950,107500,5375,10,30,86,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/6e729a1d-b801-4495-aed6-acdbd14c954d
26,2615 Royal Oaks Drive,Tallahassee,FL,32309,3/3,2346,280000,82110,57000,2850,104000,5200,10,30,90,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/468e0879-8ac2-4e65-bee7-75bc2470cfa6
27,364 Briar Bay Circle,Orlando,FL,32825,3/2,1351,230000,47285,57000,2850,103500,5175,10,30,81,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/b1fb1cee-0fb7-4889-8fc5-d95a14c1e8e7
28,1251 Summit Run Circle,West Palm Beach,FL,33415,2/2,1176,217500,41160,55500,2775,101000,5050,10,30,78,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/3452714000070587643
29,2408 West Carmen Street,Tampa,FL,33609,2/2,1636,230000,57260,51500,2575,93500,4675,10,30,116,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/d65bbba1-04ae-4538-819b-8542c9b5cb60
30,3030 Ashwood Road,Cleveland,OH,44120,3/1,1440,212296,50400,48500,2425,88000,4400,10,30,96,"Wed, Jun 24, 2026 · 9:00 AM",https://federa.com/property/d3eb1776-27a0-4395-bc70-cde6e8394e05
31,999 Northeast 159th Street,North Miami Beach,FL,33162,2/1,1468,210000,51380,47000,2350,85500,4275,10,30,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000073691038
32,327 Northeast 6th Avenue,Trenton,FL,32693,4/3,390,150000,15000,44000,2200,80000,4000,10,30,95,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/3452714000085469450
33,6237 Ashley Drive,Lakeland,FL,33813,4/4,3645,310000,127575,43500,2175,79500,3975,10,30,75,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/66d966f3-c6a4-4100-b5a7-719c856919c0
34,12506 Mission Hills Dr S,Jacksonville,FL,32225,4/3.5,3400,290000,119000,40500,2025,74000,3700,10,30,94,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/3452714000072528710
35,5028 Inshore Landing Drive,Apollo Beach,FL,33572,4/2,2402,240000,84070,40500,2025,74000,3700,10,30,77,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000084393254
36,3933 Northwest 81st Terrace,Coral Springs,FL,33065,3/2,1941,215000,67935,40000,2000,72500,3625,10,30,79,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/fef45c5d-73aa-418c-a369-22ada8d24e20
37,105 Burchwood Avenue,Plant City,FL,33563,3/2,1851,210000,64785,39500,1975,72000,3600,10,30,80,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/4f9f315f-2957-4d35-a446-20e5910b5768
38,12725 Sunland Ct,Tampa,FL,33625,3/2,1672,200000,58520,39500,1975,71500,3575,10,30,102,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/8688a636-fcd2-4e0b-9366-c27a2b50acdf
