Rank,Address,City,ST,Zip,Bd/Ba,SqFt,Verified_ARV,Confidence,Platform_Value,Est_Repairs,OPENING_OFFER,Sec_Deposit_5pct(open),MAX_OFFER(MAO),Sec_Deposit_5pct(max),Days_to_Cancel,Days_to_Close,Auction_End,URL
1,8451 Southwest 35th Terrace,Miami,FL,33155,3/2,1781,675000,med,320000,71240,202000,10100,367500,18375,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/981aadfc-ac6a-457c-86f8-305f492a0b31
2,7590 SW 127th Dr,Miami,FL,33183,3/2,1612,620000,med,340000,64480,186000,9300,338000,16900,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000074492214
3,12506 Mission Hills Dr S,Jacksonville,FL,32225,4/3.5,3400,725000,med,290000,136000,185000,9250,336000,16800,10,30,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/3452714000072528710
4,548 Northwest 54th Street,Boca Raton,FL,33487,3/2,1447,560000,med,349000,57880,167500,8375,304500,15225,10,30,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/c45d14d2-9d61-4448-83a9-d56b20f02a84
5,18480 Southwest 77th Court,Cutler Bay,FL,33157,4/3,3149,700000,low,520000,125960,162500,8125,295000,14750,10,30,"Tue, Jun 23, 2026 · 9:00 AM",https://federa.com/property/3452714000085710046
6,756 Southwest 99th Court Cir,Miami,FL,33174,4/3,1747,560000,med,140000,69880,161000,8050,292500,14625,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/1f2aa75f-1c20-4393-8675-19246bef7b2a
7,5231 NW Iredell St,Port St. Lucie,FL,34986,5/4,3939,620000,high,380000,157560,146500,7325,266500,13325,10,30,"Tue, Jun 23, 2026 · 8:00 AM",https://federa.com/property/3452714000081676485
8,5028 Inshore Landing Drive,Apollo Beach,FL,33572,4/2,2402,560000,med,240000,96080,146500,7325,266500,13325,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000084393254
9,20804 Northwest 9th Path,Miami Gardens,FL,33169,3/2,1524,470000,high,270000,60960,142000,7100,258000,12900,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/8f693eaf-ffe9-4444-8e11-e50353267c35
10,11811 Gilmerton Drive,Riverview,FL,33579,6/4,5154,700000,med,450000,206160,137000,6850,249500,12475,10,30,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/33f15de9-c761-40a0-8efa-8aad77d0077c
11,601 Southeast 37th Place,Homestead,FL,33033,4/2,2340,525000,med,290000,93600,135000,6750,245500,12275,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000081947116
12,13712 Halliford Dr,Tampa,FL,33624,3/3,3295,580000,med,460000,131800,134000,6700,244000,12200,10,30,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/84c4c1aa-0dc4-4d81-949a-dd47f03f39b8
13,3933 Northwest 81st Terrace,Coral Springs,FL,33065,3/2,1941,490000,med,215000,77640,131000,6550,238000,11900,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/fef45c5d-73aa-418c-a369-22ada8d24e20
14,1447 Dunbrooke Loop,Longwood,FL,32779,4/3,3487,625000,low,400000,139480,129500,6475,235500,11775,10,30,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/dac9a08b-ee3a-461c-b25e-c89bcda397ab
15,1441 Northeast 117th Street,Miami,FL,33161,3/1,1232,440000,med,130000,49280,128500,6425,233500,11675,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000082715146
16,8330 NW 53rd St,Lauderhill,FL,33351,3/2,1849,470000,med,500000,73960,125500,6275,228500,11425,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/0dfef1fe-06be-4ed0-821d-01ddbeabd6fc
17,12244 Castle Pines Road,Boynton Beach,FL,33437,3/2,1870,470000,med,469900,74800,125500,6275,228000,11400,10,30,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/f7a3fe5b-17ca-4ff6-8a32-f229dc24b0f5
18,999 Northeast 159th Street,North Miami Beach,FL,33162,2/1,1468,480000,low,210000,58720,125000,6250,227000,11350,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000073691038
19,10070 Brodbeck Boulevard,Orlando,FL,32832,5/3,2740,560000,low,340000,109600,124000,6200,225500,11275,10,30,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/3452714000074120777
20,2408 West Carmen Street,Tampa,FL,33609,2/2,1636,445000,med,230000,65440,121500,6075,220500,11025,10,30,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/d65bbba1-04ae-4538-819b-8542c9b5cb60
21,7020 NE 5th Ave,Miami,FL,33138,2/2,1227,450000,low,410000,49080,120000,6000,218000,10900,10,30,"Tue, Jun 23, 2026 · 9:00 AM",https://federa.com/property/dea5cc7f-2f95-43ea-b28f-af5663eb31e0
22,6237 Ashley Drive,Lakeland,FL,33813,4/4,3645,560000,med,310000,145800,119000,5950,216500,10825,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/66d966f3-c6a4-4100-b5a7-719c856919c0
23,2615 Royal Oaks Drive,Tallahassee,FL,32309,3/3,2346,475000,med,280000,93840,116500,5825,212000,10600,10,30,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/468e0879-8ac2-4e65-bee7-75bc2470cfa6
24,2661 Laguna Way,Miramar,FL,33025,3/2,1879,480000,low,340900,75160,116000,5800,210500,10525,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000062174306
25,6802 Arbor Oaks Drive,Bradenton,FL,34209,3/2,1844,430000,med,260000,73760,111000,5550,202000,10100,10,30,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/6e729a1d-b801-4495-aed6-acdbd14c954d
26,1426 Southeast 24th Terrace,Homestead,FL,33035,3/2,1731,390000,high,150000,69240,106500,5325,194000,9700,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/fe6a5c1c-20dd-4cbd-b064-3de0b01cb444
27,15743 Fairway Heights Boulevard,Miami,FL,33157,3/2,2272,440000,med,200000,90880,105500,5275,191500,9575,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000062862125
28,2940 Northwest 214th Street,Miami Gardens,FL,33056,3/2,3606,560000,low,500000,144240,105000,5250,190500,9525,10,30,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/1e2d67a2-6382-4316-9142-e78ccd99e48d
29,412 Belmont Street,Safety Harbor,FL,34695,2/2,1095,360000,med,150000,43800,102000,5100,185500,9275,10,30,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/dad7eacb-4d20-418d-886e-b98ffaf33f5d
30,3058 Brandywine Drive,Orlando,FL,32806,4/2,2289,430000,med,320000,91560,101500,5075,184500,9225,10,30,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/cf71596e-9172-42e8-910e-73fd063f3932
31,17711 Foxwood Way,Boca Raton,FL,33487,3/2,1614,420000,low,396125,64560,101500,5075,184000,9200,10,30,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/8bcf6a40-9530-40a5-a3ab-2c594e240cc8
32,1251 Summit Run Circle,West Palm Beach,FL,33415,2/2,1176,360000,med,217500,47040,100500,5025,182500,9125,10,30,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/3452714000070587643
