"Tier","Status","Address","City","ZIP","Beds","Baths","Agent","Phone","Brokerage","Action","ZillowURL"
"1-FSBO (best)","For sale by owner","57710 McClung Dr, Plaquemine, LA 70764","Plaquemine","70764","3","2","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/57710-McClung-Dr-Plaquemine-LA-70764/233428858_zpid/"
"1-FSBO (best)","For sale by owner","12854 Mulberry Dr, Denham Springs, LA 70726","Denham Springs","70726","3","2","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/12854-Mulberry-Dr-Denham-Springs-LA-70726/110896152_zpid/"
"1-FSBO (best)","For sale by owner","11815 Parkview Ct, Baton Rouge, LA 70816","Baton Rouge","70816","3","3","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/11815-Parkview-Ct-Baton-Rouge-LA-70816/108612082_zpid/"
"1-FSBO (best)","For sale by owner","37221 Miller Rd, Prairieville, LA 70769","Prairieville","70769","3","2","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/37221-Miller-Rd-Prairieville-LA-70769/1460837_zpid/"
"1-FSBO (best)","For sale by owner","717 Miraval Ave, Zachary, LA 70791","Zachary","70791","4","2","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/717-Miraval-Ave-Zachary-LA-70791/2070067937_zpid/"
"1-FSBO (best)","For sale by owner","37233 Miller Rd, Prairieville, LA 70769","Prairieville","70769","3","2","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/37233-Miller-Rd-Prairieville-LA-70769/1461631_zpid/"
"1-FSBO (best)","For sale by owner","28300 Moreau Dr, Denham Springs, LA 70726","Denham Springs","70726","4","3","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/28300-Moreau-Dr-Denham-Springs-LA-70726/451009067_zpid/"
"1-FSBO (best)","For sale by owner","10177 Causey Xing, Denham Springs, LA 70706","Denham Springs","70706","3","3","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/10177-Causey-Xing-Denham-Springs-LA-70706/120282428_zpid/"
"1-FSBO (best)","For sale by owner","10645 Wheeler Bend Ave, Baton Rouge, LA 70814","Baton Rouge","70814","4","3","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/10645-Wheeler-Bend-Ave-Baton-Rouge-LA-70814/66302343_zpid/"
"1-FSBO (best)","For sale by owner","6535 Highway 74, Saint Gabriel, LA 70776","Saint Gabriel","70776","3","2","","","","Skip-trace OWNER (direct deal, no agent). Text/call.","https://www.zillow.com/homedetails/6535-Highway-74-Saint-Gabriel-LA-70776/125578406_zpid/"
