"Rank","Equity%","Price","Zestimate","EstSpread","Beds","Baths","SqFt","PPSF","Type","Address","ZillowURL"
"1","47%","35000","65600","30600","2","0","672","52","House for sale","1515 Hatcher Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/1515-Hatcher-Dr-Columbia-SC-29203/11694494_zpid/"
"2","26%","170000","229400","59400","5","2","1200","142","House for sale","3961 Live Oak St, Columbia, SC 29205","https://www.zillow.com/homedetails/3961-Live-Oak-St-Columbia-SC-29205/11698835_zpid/"
"3","24%","179900","236900","57000","4","2","1900","95","House for sale","616 Amberley Rd, Columbia, SC 29203","https://www.zillow.com/homedetails/616-Amberley-Rd-Columbia-SC-29203/11680383_zpid/"
"4","23%","99000","128700","29700","4","2","1170","85","House for sale","400 Green Tree Cir, Columbia, SC 29203","https://www.zillow.com/homedetails/400-Green-Tree-Cir-Columbia-SC-29203/11695603_zpid/"
"5","8%","179500","196100","16600","3","1","952","189","House for sale","2518 Putnam St, Columbia, SC 29204","https://www.zillow.com/homedetails/2518-Putnam-St-Columbia-SC-29204/11689936_zpid/"
"6","8%","109900","118900","9000","4","2","1154","95","House for sale","4137 Shorecrest Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/4137-Shorecrest-Dr-Columbia-SC-29209/11697075_zpid/"
"7","6%","168000","179400","11400","3","1","1000","168","House for sale","1558 Hazelwood Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/1558-Hazelwood-Rd-Columbia-SC-29209/11724622_zpid/"
"8","6%","119500","126600","7100","3","1","1247","96","House for sale","3414 Maybank St, Columbia, SC 29204","https://www.zillow.com/homedetails/3414-Maybank-St-Columbia-SC-29204/11692739_zpid/"
"9","5%","125000","131700","6700","2","1","1235","101","House for sale","1311 Means Ave, Columbia, SC 29210","https://www.zillow.com/homedetails/1311-Means-Ave-Columbia-SC-29210/300044280_zpid/"
"10","5%","275000","289600","14600","4","3","2279","121","House for sale","154 Ashewicke Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/154-Ashewicke-Dr-Columbia-SC-29229/108868167_zpid/"
"11","4%","219900","229200","9300","3","3","1850","119","House for sale","6 Elders Pond Ct, Columbia, SC 29229","https://www.zillow.com/homedetails/6-Elders-Pond-Ct-Columbia-SC-29229/55194323_zpid/"
"12","3%","177900","183700","5800","2","1","1010","176","House for sale","706 Hemphill St, Columbia, SC 29205","https://www.zillow.com/homedetails/706-Hemphill-St-Columbia-SC-29205/11699160_zpid/"
"13","3%","160000","165100","5100","3","2","1111","144","House for sale","3000 Richfield Dr, Columbia, SC 29201","https://www.zillow.com/homedetails/3000-Richfield-Dr-Columbia-SC-29201/11676419_zpid/"
"14","2%","300000","307300","7300","3","2","1671","180","House for sale","1002 Benton St, Columbia, SC 29201","https://www.zillow.com/homedetails/1002-Benton-St-Columbia-SC-29201/11676985_zpid/"
"15","2%","159000","162300","3300","2","2","1092","146","Townhouse for sale","188 Crestland Dr, Columbia, SC 29210","https://www.zillow.com/homedetails/188-Crestland-Dr-Columbia-SC-29210/88000602_zpid/"
"16","2%","270000","274900","4900","3","3","1863","145","House for sale","17 Cypress Cove Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/17-Cypress-Cove-Rd-Columbia-SC-29229/121957026_zpid/"
"17","2%","225000","228600","3600","3","2","1377","163","House for sale","1050 Rabon Pond Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/1050-Rabon-Pond-Dr-Columbia-SC-29223/118550265_zpid/"
"18","1%","229900","231500","1600","3","2","1449","159","House for sale","923 Huntington Ave, Columbia, SC 29205","https://www.zillow.com/homedetails/923-Huntington-Ave-Columbia-SC-29205/11682790_zpid/"
"19","1%","180500","181600","1100","3","2","1124","161","House for sale","721 Meadowlake Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/721-Meadowlake-Dr-Columbia-SC-29203/11695668_zpid/"
"20","0%","239900","241000","1100","3","3","1560","154","House for sale","203 May Oak Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/203-May-Oak-Rd-Columbia-SC-29229/55195185_zpid/"
"21","0%","219900","220900","1000","3","2","1542","143","House for sale","436 Guard Tower Ln, Columbia, SC 29209","https://www.zillow.com/homedetails/436-Guard-Tower-Ln-Columbia-SC-29209/110214130_zpid/"
"22","0%","179900","180700","800","3","2","1300","138","House for sale","1640 Woodford Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/1640-Woodford-Rd-Columbia-SC-29209/11725082_zpid/"
"23","0%","235000","236000","1000","3","2","1399","168","House for sale","25 Rosepine Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/25-Rosepine-Dr-Columbia-SC-29223/11723205_zpid/"
"24","0%","169900","170500","600","3","2","1095","155","House for sale","1135 Omega Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/1135-Omega-Dr-Columbia-SC-29223/11720059_zpid/"
"25","0%","244900","245600","700","4","2","1894","129","House for sale","100 Pincushion Ln, Columbia, SC 29209","https://www.zillow.com/homedetails/100-Pincushion-Ln-Columbia-SC-29209/11724003_zpid/"
"26","0%","219900","220500","600","4","3","1634","135","House for sale","29 Wild Iris Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/29-Wild-Iris-Ct-Columbia-SC-29209/80994624_zpid/"
"27","0%","232000","232600","600","3","3","1520","153","House for sale","509 Ridge Trail Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/509-Ridge-Trail-Dr-Columbia-SC-29229/11741138_zpid/"
"28","0%","238000","238600","600","4","3","2323","102","House for sale","169 Fox Grove Cir, Columbia, SC 29229","https://www.zillow.com/homedetails/169-Fox-Grove-Cir-Columbia-SC-29229/67616407_zpid/"
