"Rank","Flag","Equity%","DaysOnMkt","Price","Zestimate","EstSpread","Beds","Baths","SqFt","Type","Address","ZillowURL"
"1","EQUITY 47%","47%","1","35000","65600","30600","2","0","672","House for sale","1515 Hatcher Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/1515-Hatcher-Dr-Columbia-SC-29203/11694494_zpid/"
"2","EQUITY 26%","26%","6","170000","229400","59400","5","2","1200","House for sale","3961 Live Oak St, Columbia, SC 29205","https://www.zillow.com/homedetails/3961-Live-Oak-St-Columbia-SC-29205/11698835_zpid/"
"3","EQUITY 24%","24%","5","179900","236900","57000","4","2","1900","House for sale","616 Amberley Rd, Columbia, SC 29203","https://www.zillow.com/homedetails/616-Amberley-Rd-Columbia-SC-29203/11680383_zpid/"
"4","EQUITY 23%","23%","4","99000","128700","29700","4","2","1170","House for sale","400 Green Tree Cir, Columbia, SC 29203","https://www.zillow.com/homedetails/400-Green-Tree-Cir-Columbia-SC-29203/11695603_zpid/"
"5","STALE 89d","-1%","89","265000","263600","-1400","3","3","1703","House for sale","249 Knight Valley Cir, Columbia, SC 29209","https://www.zillow.com/homedetails/249-Knight-Valley-Cir-Columbia-SC-29209/121953731_zpid/"
"6","STALE 89d","-1%","89","270000","267300","-2700","3","3","1940","House for sale","25 Heatherlaurel Ct, Columbia, SC 29223","https://www.zillow.com/homedetails/25-Heatherlaurel-Ct-Columbia-SC-29223/121964812_zpid/"
"7","STALE 89d","","89","279000","","","4","3","2268","House for sale","466 Robins Egg Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/466-Robins-Egg-Dr-Columbia-SC-29229/88007353_zpid/"
"8","STALE 88d","","88","240000","","","4","2","1982","House for sale","314 Leton Dr, Columbia, SC 29210","https://www.zillow.com/homedetails/314-Leton-Dr-Columbia-SC-29210/11194576_zpid/"
"9","STALE 88d","","88","259000","","","4","3","1906","House for sale","412 Bombing Range Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/412-Bombing-Range-Rd-Columbia-SC-29229/62990930_zpid/"
"10","STALE 87d","-1%","87","249900","248300","-1600","3","2","1800","House for sale","217 S Shields Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/217-S-Shields-Rd-Columbia-SC-29223/11729439_zpid/"
"11","STALE 87d","0%","87","189900","189800","-100","3","2","1118","House for sale","200 Kingston Trace Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/200-Kingston-Trace-Rd-Columbia-SC-29229/62990915_zpid/"
"12","STALE 87d","-1%","87","119900","119000","-900","2","1","883","House for sale","517 Johnson Ave, Columbia, SC 29203","https://www.zillow.com/homedetails/517-Johnson-Ave-Columbia-SC-29203/11677971_zpid/"
"13","STALE 87d","-1%","87","227500","225200","-2300","3","2","1338","House for sale","301 Squire Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/301-Squire-Rd-Columbia-SC-29223/11730437_zpid/"
