"State","StateAbbr","City","Zip","DealCount"
"Alabama","AL","Birmingham","35207","1"
"Arizona","AZ","Mesa","85201","1"
"Arizona","AZ","Phoenix","85003","105"
"Arizona","AZ","Phoenix","85006","105"
"Arizona","AZ","Phoenix","85007","105"
"Arizona","AZ","Phoenix","85009","105"
"Arizona","AZ","Phoenix","85013","105"
"Arizona","AZ","Phoenix","85014","105"
"Arizona","AZ","Phoenix","85015","105"
"Arizona","AZ","Phoenix","85018","105"
"Arizona","AZ","Phoenix","85019","105"
"Arizona","AZ","Phoenix","85020","105"
"Arizona","AZ","Phoenix","85021","105"
"Arizona","AZ","Phoenix","85022","105"
"Arizona","AZ","Phoenix","85031","105"
"Arizona","AZ","Phoenix","85032","105"
"Arizona","AZ","Phoenix","85033","105"
"Arizona","AZ","Phoenix","85034","105"
"Arizona","AZ","Phoenix","85035","105"
"Arizona","AZ","Phoenix","85041","105"
"Arizona","AZ","Phoenix","85048","105"
"Arizona","AZ","Phoenix","85051","105"
"Arizona","AZ","Tucson","85701","1"
"California","CA","Bakersfield","93304","56"
"California","CA","Bakersfield","93305","56"
"California","CA","Bakersfield","93307","56"
"California","CA","Bakersfield","93309","56"
"California","CA","Bakersfield","93311","56"
"California","CA","Bakersfield","93313","56"
"Colorado","CO","Denver","80205","1"
"Florida","FL","Cape Coral","33904","32"
"Florida","FL","Cape Coral","33909","32"
"Florida","FL","Cape Coral","33914","32"
"Florida","FL","Cape Coral","33993","32"
"Florida","FL","Coral","33909","4"
"Florida","FL","Jacksonville","32204","517"
"Florida","FL","Jacksonville","32205","517"
"Florida","FL","Jacksonville","32206","517"
"Florida","FL","Jacksonville","32207","517"
"Florida","FL","Jacksonville","32208","517"
"Florida","FL","Jacksonville","32209","517"
"Florida","FL","Jacksonville","32210","517"
"Florida","FL","Jacksonville","32211","517"
"Florida","FL","Jacksonville","32216","517"
"Florida","FL","Jacksonville","32217","517"
"Florida","FL","Jacksonville","32218","517"
"Florida","FL","Jacksonville","32219","517"
"Florida","FL","Jacksonville","32220","517"
"Florida","FL","Jacksonville","32221","517"
"Florida","FL","Jacksonville","32222","517"
"Florida","FL","Jacksonville","32223","517"
"Florida","FL","Jacksonville","32233","517"
"Florida","FL","Jacksonville","32234","517"
"Florida","FL","Jacksonville","32244","517"
"Florida","FL","Jacksonville","32250","517"
"Florida","FL","Jacksonville","32254","517"
"Florida","FL","Jacksonville","32258","517"
"Florida","FL","Jacksonville","32277","517"
"Florida","FL","Lakeland","33801","56"
"Florida","FL","Lakeland","33803","56"
"Florida","FL","Lakeland","33805","56"
"Florida","FL","Lakeland","33809","56"
"Florida","FL","Lakeland","33810","56"
"Florida","FL","Miami","33147","1"
"Florida","FL","Orlando","32811","1"
"Florida","FL","Saint Petersburg","33705","1"
"Florida","FL","Tampa","33605","1"
"Georgia","GA","Atlanta","30316","1"
"Georgia","GA","Augusta","30901","1"
"Georgia","GA","Savannah","31401","1"
"Illinois","IL","Chicago","60609","528"
"Illinois","IL","Chicago","60617","528"
"Illinois","IL","Chicago","60619","528"
"Illinois","IL","Chicago","60620","528"
"Illinois","IL","Chicago","60621","528"
"Illinois","IL","Chicago","60623","528"
"Illinois","IL","Chicago","60624","528"
"Illinois","IL","Chicago","60628","528"
"Illinois","IL","Chicago","60629","528"
"Illinois","IL","Chicago","60632","528"
"Illinois","IL","Chicago","60633","528"
"Illinois","IL","Chicago","60636","528"
"Illinois","IL","Chicago","60637","528"
"Illinois","IL","Chicago","60638","528"
"Illinois","IL","Chicago","60643","528"
"Illinois","IL","Chicago","60644","528"
"Illinois","IL","Chicago","60649","528"
"Illinois","IL","Chicago","60651","528"
"Illinois","IL","Chicago","60652","528"
"Illinois","IL","Chicago","60827","528"
"Indiana","IN","Indianapolis","46201","1"
"Louisiana","LA","Baker","70714","8"
"Louisiana","LA","Baton Rouge","70802","46"
"Louisiana","LA","Baton Rouge","70805","46"
"Louisiana","LA","Baton Rouge","70806","46"
"Louisiana","LA","Baton Rouge","70809","46"
"Louisiana","LA","Baton Rouge","70811","46"
"Louisiana","LA","Baton Rouge","70812","46"
"Louisiana","LA","Baton Rouge","70814","46"
"Louisiana","LA","Baton Rouge","70815","46"
"Louisiana","LA","Baton Rouge","70816","46"
"Louisiana","LA","Baton Rouge","70817","46"
"Louisiana","LA","Baton Rouge","70818","46"
"Louisiana","LA","Baton Rouge","70819","46"
"Louisiana","LA","Pride","70770","4"
"Louisiana","LA","Zachary","70791","8"
"Maryland","MD","Baltimore","21206","99"
"Maryland","MD","Baltimore","21210","99"
"Maryland","MD","Baltimore","21214","99"
"Maryland","MD","Baltimore","21215","99"
"Maryland","MD","Baltimore","21216","99"
"Maryland","MD","Baltimore","21217","99"
"Maryland","MD","Baltimore","21218","99"
"Maryland","MD","Baltimore","21223","99"
"Maryland","MD","Baltimore","21224","99"
"Maryland","MD","Baltimore","21225","99"
"Maryland","MD","Baltimore","21229","99"
"Maryland","MD","Baltimore","21230","99"
"Maryland","MD","Baltimore","21234","99"
"Maryland","MD","Parkville","21234","4"
"Michigan","MI","Detroit","48202","1103"
"Michigan","MI","Detroit","48203","1103"
"Michigan","MI","Detroit","48204","1103"
"Michigan","MI","Detroit","48205","1103"
"Michigan","MI","Detroit","48206","1103"
"Michigan","MI","Detroit","48207","1103"
"Michigan","MI","Detroit","48208","1103"
"Michigan","MI","Detroit","48209","1103"
"Michigan","MI","Detroit","48210","1103"
"Michigan","MI","Detroit","48211","1103"
"Michigan","MI","Detroit","48212","1103"
"Michigan","MI","Detroit","48213","1103"
"Michigan","MI","Detroit","48214","1103"
"Michigan","MI","Detroit","48215","1103"
"Michigan","MI","Detroit","48216","1103"
"Michigan","MI","Detroit","48217","1103"
"Michigan","MI","Detroit","48219","1103"
"Michigan","MI","Detroit","48221","1103"
"Michigan","MI","Detroit","48223","1103"
"Michigan","MI","Detroit","48224","1103"
"Michigan","MI","Detroit","48227","1103"
"Michigan","MI","Detroit","48228","1103"
"Michigan","MI","Detroit","48234","1103"
"Michigan","MI","Detroit","48235","1103"
"Michigan","MI","Detroit","48236","1103"
"Michigan","MI","Detroit","48238","1103"
"Michigan","MI","Grosse Pointe","48224","16"
"Michigan","MI","Highland Park","48203","24"
"Missouri","MO","Kansas City","64128","1"
"Nevada","NV","Las Vegas","89101","1"
"New Jersey","NJ","Hamilton","08610","40"
"New Jersey","NJ","Hamilton","08619","40"
"New Jersey","NJ","Hamilton","08620","40"
"New Jersey","NJ","Hamilton","08629","40"
"New Jersey","NJ","Hamilton","08690","40"
"New Jersey","NJ","Trenton","08609","48"
"New Jersey","NJ","Trenton","08611","48"
"New Jersey","NJ","Trenton","08618","48"
"New Jersey","NJ","Trenton","08620","48"
"New Jersey","NJ","Trenton","08638","48"
"New Jersey","NJ","Trenton","08691","48"
"New Mexico","NM","Albuquerque","87102","112"
"New Mexico","NM","Albuquerque","87104","112"
"New Mexico","NM","Albuquerque","87105","112"
"New Mexico","NM","Albuquerque","87108","112"
"New Mexico","NM","Albuquerque","87111","112"
"New Mexico","NM","Albuquerque","87112","112"
"New Mexico","NM","Albuquerque","87114","112"
"New Mexico","NM","Albuquerque","87120","112"
"New Mexico","NM","Albuquerque","87123","112"
"North Carolina","NC","Charlotte","28215","1"
"North Carolina","NC","Eastover","28312","4"
"North Carolina","NC","Fayetteville","28301","150"
"North Carolina","NC","Fayetteville","28303","150"
"North Carolina","NC","Fayetteville","28304","150"
"North Carolina","NC","Fayetteville","28305","150"
"North Carolina","NC","Fayetteville","28306","150"
"North Carolina","NC","Fayetteville","28311","150"
"North Carolina","NC","Fayetteville","28314","150"
"North Carolina","NC","Greensboro","27401","1"
"North Carolina","NC","Raleigh","27601","1"
"Ohio","OH","Cleveland","44102","195"
"Ohio","OH","Cleveland","44103","195"
"Ohio","OH","Cleveland","44104","195"
"Ohio","OH","Cleveland","44105","195"
"Ohio","OH","Cleveland","44108","195"
"Ohio","OH","Cleveland","44109","195"
"Ohio","OH","Cleveland","44110","195"
"Ohio","OH","Cleveland","44111","195"
"Ohio","OH","Cleveland","44112","195"
"Ohio","OH","Cleveland","44113","195"
"Ohio","OH","Cleveland","44115","195"
"Ohio","OH","Cleveland","44119","195"
"Ohio","OH","Cleveland","44120","195"
"Ohio","OH","Cleveland","44127","195"
"Ohio","OH","Cleveland","44128","195"
"Ohio","OH","Cleveland","44135","195"
"Ohio","OH","Cleveland","44144","195"
"Ohio","OH","Shaker Heights","44120","4"
"Oklahoma","OK","Oklahoma City","73129","1"
"South Carolina","SC","Anderson","29621","1"
"South Carolina","SC","Charleston","29407","5"
"South Carolina","SC","Charleston","29412","5"
"South Carolina","SC","Columbia","29201","662"
"South Carolina","SC","Columbia","29203","662"
"South Carolina","SC","Columbia","29204","662"
"South Carolina","SC","Columbia","29205","662"
"South Carolina","SC","Columbia","29206","662"
"South Carolina","SC","Columbia","29209","662"
"South Carolina","SC","Columbia","29210","662"
"South Carolina","SC","Columbia","29212","662"
"South Carolina","SC","Columbia","29223","662"
"South Carolina","SC","Columbia","29229","662"
"South Carolina","SC","Gaffney","29340","1"
"South Carolina","SC","Greenville","29601","3"
"South Carolina","SC","Greenville","29617","3"
"South Carolina","SC","Hollywood","29449","1"
"South Carolina","SC","Johns Island","29455","4"
"South Carolina","SC","North Charleston","29405","4"
"Tennessee","TN","Memphis","38115","1"
"Texas","TX","Austin","78702","1"
"Texas","TX","Dallas","75203","273"
"Texas","TX","Dallas","75208","273"
"Texas","TX","Dallas","75210","273"
"Texas","TX","Dallas","75211","273"
"Texas","TX","Dallas","75212","273"
"Texas","TX","Dallas","75215","273"
"Texas","TX","Dallas","75216","273"
"Texas","TX","Dallas","75217","273"
"Texas","TX","Dallas","75218","273"
"Texas","TX","Dallas","75223","273"
"Texas","TX","Dallas","75224","273"
