"Type","City (IL)","Asking Price","Opening Offer","MAO Ceiling","Posted","Listing URL","Contact Name (fill in)","Phone (fill in)","Email (fill in)"
"Townhome","Chicago","$499,999","$330,000","$374,999","2026-06-07","https://chicago.craigslist.org/nwc/reb/d/chicago-make-an-offer-townhome/7939494314.html","","",""
"Multi-Unit","Chicago","$489,000","(land/comm - underwrite manually)","","2026-06-07","https://chicago.craigslist.org/wcl/reb/d/chicago-make-an-offer-units-building/7939489684.html","","",""
"Land/Lot","Chicago","$474,900","(land/comm - underwrite manually)","","2026-06-07","https://chicago.craigslist.org/chc/reb/d/chicago-make-an-offer-land/7939490531.html","","",""
"Retail","Chicago","$399,999","(land/comm - underwrite manually)","","2026-06-07","https://chicago.craigslist.org/nwc/reb/d/chicago-make-an-offer-retail-stores/7939484459.html","","",""
"Multi-Unit","Stone Park","$385,000","(land/comm - underwrite manually)","","2026-06-07","https://chicago.craigslist.org/nwc/reb/d/stone-park-make-an-offer-units-building/7939492404.html","","",""
"Multi-Unit","Maywood","$385,000","(land/comm - underwrite manually)","","2026-06-07","https://chicago.craigslist.org/wcl/reb/d/maywood-make-an-offer-units-building/7939490353.html","","",""
"Multi-Unit","Chicago","$355,000","(land/comm - underwrite manually)","","2026-06-07","https://chicago.craigslist.org/chc/reb/d/chicago-make-and-offer-units-building/7939492949.html","","",""
"Townhome","Streamwood","$355,000","$230,500","$261,900","2026-06-07","https://chicago.craigslist.org/nwc/reb/d/streamwood-make-an-offer-townhome/7939490230.html","","",""
"Townhome","Westchester","$299,900","$192,500","$218,922","2026-06-07","https://chicago.craigslist.org/nwc/reb/d/westchester-make-an-offer-townhome/7939495022.html","","",""
"Single Family","Chicago","$299,000","$192,000","$218,220","2026-06-07","https://chicago.craigslist.org/chc/reb/d/chicago-make-an-offer-single-family/7939490721.html","","",""
"Land/Lot","Lisle","$249,900","(land/comm - underwrite manually)","","2026-06-13","https://chicago.craigslist.org/wcl/reo/d/lisle-4-acre-lot-2-lisle-il-60532/7940696496.html","","",""
"Condo","Schaumburg","$232,990","$146,500","$166,732","2026-06-14","https://chicago.craigslist.org/chc/reb/d/schaumburg-make-an-offer-condo/7941000020.html","","",""
"Condo","Des Plaines","$209,500","$130,500","$148,410","2026-06-07","https://chicago.craigslist.org/chc/reb/d/des-plaines-make-an-offer-condo/7939484910.html","","",""
"Condo","Hoffman Estates","$159,999","$101,000","$114,799","2026-06-07","https://chicago.craigslist.org/chc/reb/d/hoffman-estates-make-an-offer-condo/7939487972.html","","",""
"Land/Lot","Algonquin","$120,000","(land/comm - underwrite manually)","","2026-06-07","https://chicago.craigslist.org/nwc/reb/d/algonquin-make-an-offer-land/7939492593.html","","",""
"Land/Lot","Chicago","$10,000","(land/comm - underwrite manually)","","2026-05-19","https://chicago.craigslist.org/chc/reo/d/chicago-vacant-city-lot-below-market/7935467370.html","","",""
