"Deal Name","Pipeline","Deal Stage","Amount","Close Date","Deal Description"
"606 Springdale Rd, Austin, TX 78702","Sales Pipeline","Appointment Scheduled","499900","","https://www.zillow.com/homedetails/606-Springdale-Rd-Austin-TX-78702/29383517_zpid/ | As-Is / Estate | Agent: Cheryl Chavarria"
"623 Parkview Ave, Dallas, TX 75223","Sales Pipeline","Appointment Scheduled","249000","","https://www.zillow.com/homedetails/623-Parkview-Ave-Dallas-TX-75223/26684876_zpid/ | Investor Special | Agent: Shawna King 214-697-1742"
"5021 Malmedy Rd, Houston, TX 77033","Sales Pipeline","Appointment Scheduled","119900","","Investor Special | Agent: NB Elite Realty"
"211 Isabel St, San Antonio, TX 78210","Sales Pipeline","Appointment Scheduled","130000","","https://www.zillow.com/homedetails/211-Isabel-St-San-Antonio-TX-78210/26142159_zpid/ | Investor Special | Agent: Terry Todd (210) 287-5982"
"4108 Pate Dr, Fort Worth, TX 76119","Sales Pipeline","Appointment Scheduled","189000","","https://www.zillow.com/homedetails/4108-Pate-Dr-Fort-Worth-TX-76119/61882237_zpid/ | Investor Special | Agent: Marissa Brett 214-814-8100"
"4448 King Cole Blvd, Orlando, FL 32811","Sales Pipeline","Appointment Scheduled","168000","","https://www.zillow.com/homedetails/4448-King-Cole-Blvd-Orlando-FL-32811/46064334_zpid/ | Foreclosure | Agent: Al Spry 407-207-2220"
"209 S 24th St, Tampa, FL 33605","Sales Pipeline","Appointment Scheduled","150000","","Handyman Special | Agent: Charles Rutenberg Realty Inc"
"3659 Cedar Dr, Jacksonville, FL 32207","Sales Pipeline","Appointment Scheduled","235000","","Investor Special"
"2295 NW 64th St, Miami, FL 33147","Sales Pipeline","Appointment Scheduled","","","https://www.zillow.com/homedetails/2295-NW-64th-St-Miami-FL-33147/44159089_zpid/ | Investor Special"
"340 14th St N, Saint Petersburg, FL 33705","Sales Pipeline","Appointment Scheduled","225000","","https://www.zillow.com/homedetails/340-14th-St-N-Saint-Petersburg-FL-33705/47170109_zpid/ | Fixer Upper | Agent: Torrie Tiernan Jasuwan"
"5120 N 10th Way, Phoenix, AZ 85014","Sales Pipeline","Appointment Scheduled","","","https://www.zillow.com/homedetails/5120-N-10th-Way-Phoenix-AZ-85014/316019148_zpid/ | Investor Special"
"519 S 5th Ave, Tucson, AZ 85701","Sales Pipeline","Appointment Scheduled","","","https://www.zillow.com/homedetails/519-S-5th-Ave-Tucson-AZ-85701/239060771_zpid/ | Investor Special"
"2220 W Dora St APT 114, Mesa, AZ 85201","Sales Pipeline","Appointment Scheduled","175000","","https://www.zillow.com/homedetails/2220-W-Dora-St-APT-114-Mesa-AZ-85201/7610275_zpid/ | Investor Special | Agent: Jared A English 888-881-4118"
"226 Northwood St, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","","","https://www.zillow.com/homedetails/226-Northwood-St-Columbia-SC-29201/117707427_zpid/ | Investor Special"
"205 Key Ct, Charleston, SC 29412","Sales Pipeline","Appointment Scheduled","","","https://www.zillow.com/homedetails/205-Key-Ct-Charleston-SC-29412/68392125_zpid/ | Investor Special"
"206 Cook St, Greenville, SC 29601","Sales Pipeline","Appointment Scheduled","250000","","https://www.zillow.com/homedetails/206-Cook-St-Greenville-SC-29601/96467861_zpid/ | Investor Special | Agent: Ralph Harvey (855) 456-4945"
"1011 Ormewood Ave SE, Atlanta, GA 30316","Sales Pipeline","Appointment Scheduled","269900","","https://www.zillow.com/homedetails/1011-Ormewood-Ave-SE-Atlanta-GA-30316/35832654_zpid/ | Investor Special | Agent: Compass 404-202-1444"
"2133 Grand Blvd, Augusta, GA 30901","Sales Pipeline","Appointment Scheduled","69900","","Investor Special | Agent: Century 21 Larry Miller Realty"
"514 E Oglethorpe Ave, Savannah, GA 31401","Sales Pipeline","Appointment Scheduled","1548000","","https://www.zillow.com/homedetails/514-E-Oglethorpe-Ave-Savannah-GA-31401/54472010_zpid/ | Investor Special | Agent: Joseph D. Shields 912-631-0616"
"8128 Tiburon Cir, Charlotte, NC 28215","Sales Pipeline","Appointment Scheduled","229900","","https://www.zillow.com/homedetails/8128-Tiburon-Cir-Charlotte-NC-28215/6207754_zpid/ | Investor Special | Agent: Michelle Pentecost 704-968-8865"
"202 N State St, Raleigh, NC 27601","Sales Pipeline","Appointment Scheduled","595000","","https://www.zillow.com/homedetails/202-N-State-St-Raleigh-NC-27601/6422921_zpid/ | Investor Special"
"518 Pine St, Greensboro, NC 27401","Sales Pipeline","Appointment Scheduled","70000","","https://www.zillow.com/homedetails/518-Pine-St-Greensboro-NC-27401/5920327_zpid/ | Investor Special"
"2968 New London Pl, Memphis, TN 38115","Sales Pipeline","Appointment Scheduled","","","https://www.zillow.com/homedetails/2968-New-London-Pl-Memphis-TN-38115/161755657_zpid/ | Investor Special"
"1705 33rd Ave N, Birmingham, AL 35207","Sales Pipeline","Appointment Scheduled","58000","","https://www.zillow.com/homedetails/1705-33rd-Ave-N-Birmingham-AL-35207/931685_zpid/ | Investor Special | Agent: Ashanti Seals 205-734-6106"
"2517 E 13th St, Indianapolis, IN 46201","Sales Pipeline","Appointment Scheduled","100000","","https://www.zillow.com/homedetails/2517-E-13th-St-Indianapolis-IN-46201/1103379_zpid/ | Investor Special"
"2897 E 117th St, Cleveland, OH 44120","Sales Pipeline","Appointment Scheduled","45000","","https://www.zillow.com/homedetails/2897-E-117th-St-Cleveland-OH-44120/33418059_zpid/ | Investor Special | Agent: Ebony Davis (440) 723-0793"
"1690 Burlingame St, Detroit, MI 48206","Sales Pipeline","Appointment Scheduled","40000","","https://www.zillow.com/homedetails/1690-Burlingame-St-Detroit-MI-48206/88257139_zpid/ | Investor Special"
"2708 Wilkens Ave, Baltimore, MD 21223","Sales Pipeline","Appointment Scheduled","54900","","https://www.zillow.com/homedetails/2708-Wilkens-Ave-Baltimore-MD-21223/36525658_zpid/ | Investor Special | Agent: Danny Register (410) 531-0321"
"3714 Benton Blvd, Kansas City, MO 64128","Sales Pipeline","Appointment Scheduled","85000","","https://www.zillow.com/homedetails/3714-Benton-Blvd-Kansas-City-MO-64128/2355907_zpid/ | Fixer Upper"
"1700 Marlin Ave, Las Vegas, NV 89101","Sales Pipeline","Appointment Scheduled","","","https://www.zillow.com/homedetails/1700-Marlin-Ave-Las-Vegas-NV-89101/7015963_zpid/ | Investor Special"
"2831 Lawrence St, Denver, CO 80205","Sales Pipeline","Appointment Scheduled","879000","","https://www.zillow.com/homedetails/2831-Lawrence-St-Denver-CO-80205/13307630_zpid/ | Fixer Upper | Agent: Teal Nipp Hagan 720-984-0419"
"731 SE Grand Blvd, Oklahoma City, OK 73129","Sales Pipeline","Appointment Scheduled","","","https://www.zillow.com/homedetails/731-SE-Grand-Blvd-Oklahoma-City-OK-73129/118614024_zpid/ | Investor Special"
"201 Sandhurst Rd, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","245000","","https://www.zillow.com/homedetails/201-Sandhurst-Rd-Columbia-SC-29210/11194979_zpid/ | For Sale"
"25 Rosepine Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","235000","","https://www.zillow.com/homedetails/25-Rosepine-Dr-Columbia-SC-29223/11723205_zpid/ | For Sale"
