"Deal Name","Pipeline","Deal Stage","Amount","Deal Description"
"2951 Blackfish Rd, Johns Island, SC 29455","Sales Pipeline","Appointment Scheduled","279000","https://www.zillow.com/homedetails/2951-Blackfish-Rd-Johns-Island-SC-29455/10865969_zpid/ | Agent: Flat Rate Real Estate | Zest $263300 | 25 days on market | Opening offer $178,500 / MAO ceiling $202,620"
"717 Tahoe St, Charleston, SC 29407","Sales Pipeline","Appointment Scheduled","250000","https://www.zillow.com/homedetails/717-Tahoe-St-Charleston-SC-29407/10872319_zpid/ | Agent: Better Homes and Gardens Real Estate Palmetto | Zest $235800 | 22 days on market | Opening offer $158,500 / MAO ceiling $180,000"
"1327 N And South Rd, Charleston, SC 29412","Sales Pipeline","Appointment Scheduled","275000","https://www.zillow.com/homedetails/1327-N-And-South-Rd-Charleston-SC-29412/10899343_zpid/ | Agent: The Boulevard Company | 17 days on market | Opening offer $175,500 / MAO ceiling $199,500"
"2666 Olympia Ave, North Charleston, SC 29405","Sales Pipeline","Appointment Scheduled","185000","https://www.zillow.com/homedetails/2666-Olympia-Ave-North-Charleston-SC-29405/10889232_zpid/ | Agent: Steve Richardson 843-457-4668 | Zest $178200 | 36 days on market | Opening offer $118,000 / MAO ceiling $134,300"
"3326 Jules Dr, Johns Island, SC 29455","Sales Pipeline","Appointment Scheduled","284900","https://www.zillow.com/homedetails/3326-Jules-Dr-Johns-Island-SC-29455/462704004_zpid/ | Agent: Flat Rate Real Estate | Zest $270300 | 18 days on market | Opening offer $182,500 / MAO ceiling $207,222"
"155 Locust Ave W, Hamilton, NJ 08610","Sales Pipeline","Appointment Scheduled","391999","https://www.zillow.com/homedetails/155-Locust-Ave-W-Hamilton-NJ-08610/38986812_zpid/ | Agent: Juliana Knazek 609-496-2791 | Zest $401700 | 17 days on market | Opening offer $256,000 / MAO ceiling $290,759"
"90 Grandview Ave, Hamilton, NJ 08620","Sales Pipeline","Appointment Scheduled","429999","https://www.zillow.com/homedetails/90-Grandview-Ave-Hamilton-NJ-08620/38988309_zpid/ | Agent: Marcia Warfel 609-954-4551 | PRICE DROP $9001 | Zest $427000 | 29 days on market | Opening offer $282,000 / MAO ceiling $320,399"
"189 Mercer St, Hamilton, NJ 08690","Sales Pipeline","Appointment Scheduled","375000","https://www.zillow.com/homedetails/189-Mercer-St-Hamilton-NJ-08690/38971366_zpid/ | Agent: Iris Nitzan 609-273-5550 | 11 days on market | Opening offer $244,000 / MAO ceiling $277,500"
"13 Winding Way, Trenton, NJ 08620","Sales Pipeline","Appointment Scheduled","375250","https://www.zillow.com/homedetails/13-Winding-Way-Trenton-NJ-08620/38988809_zpid/ | Agent: Edward Levin 215-546-1717 | Zest $373900 | 67 days on market | Opening offer $244,500 / MAO ceiling $277,695"
"1521 Hamilton Ave, Hamilton, NJ 08629","Sales Pipeline","Appointment Scheduled","325000","https://www.zillow.com/homedetails/1521-Hamilton-Ave-Hamilton-NJ-08629/52623234_zpid/ | Agent: Jessica Berger 609-556-8473 | 9 days on market | Opening offer $210,000 / MAO ceiling $238,500"
"83 Bryn Mawr Ave, Trenton, NJ 08618","Sales Pipeline","Appointment Scheduled","170000","https://www.zillow.com/homedetails/83-Bryn-Mawr-Ave-Trenton-NJ-08618/64882009_zpid/ | Agent: Tom Raikes 856-912-6850 | Zest $194800 | 4 days on market | Opening offer $108,000 / MAO ceiling $122,600"
"218 Sanhican Dr, Trenton, NJ 08618","Sales Pipeline","Appointment Scheduled","335000","https://www.zillow.com/homedetails/218-Sanhican-Dr-Trenton-NJ-08618/39033617_zpid/ | Agent: Shonda McCallum 609-346-8649 | 71 days on market | Opening offer $216,500 / MAO ceiling $246,300"
"27 Marshall Ave W, Hamilton, NJ 08610","Sales Pipeline","Appointment Scheduled","319000","https://www.zillow.com/homedetails/27-Marshall-Ave-W-Hamilton-NJ-08610/52623832_zpid/ | Agent: Tatyane Teixeira 908-937-3373 | PRICE DROP $31000 | Zest $317200 | 39 days on market | Opening offer $206,000 / MAO ceiling $233,820"
"10 Stacey Ave, Trenton, NJ 08618","Sales Pipeline","Appointment Scheduled","364700","https://www.zillow.com/homedetails/10-Stacey-Ave-Trenton-NJ-08618/39032098_zpid/ | Agent: Linda Reid 609-273-4152 | PRICE DROP $10300 | 73 days on market | Opening offer $237,000 / MAO ceiling $269,466"
"240 Mason Ave, Hamilton, NJ 08610","Sales Pipeline","Appointment Scheduled","450000","https://www.zillow.com/homedetails/240-Mason-Ave-Hamilton-NJ-08610/38979885_zpid/ | Agent: Jasmin Elalfy 732-523-0757 | Zest $448300 | 24 days on market | Opening offer $295,500 / MAO ceiling $336,000"
"609 Chestnut Ave, Trenton, NJ 08611","Sales Pipeline","Appointment Scheduled","100000","https://www.zillow.com/homedetails/609-Chestnut-Ave-Trenton-NJ-08611/39022144_zpid/ | Agent: Patrick Gorman 856-200-8320 | 27 days on market | Opening offer $60,000 / MAO ceiling $68,000"
"131 Hoffman Ave, Trenton, NJ 08618","Sales Pipeline","Appointment Scheduled","185000","https://www.zillow.com/homedetails/131-Hoffman-Ave-Trenton-NJ-08618/52626770_zpid/ | Agent: Mr. Ralph Thomas Patrone III 609-501-5977 | 9 days on market | Opening offer $118,000 / MAO ceiling $134,300"
"153 Knapp Ave, Hamilton, NJ 08610","Sales Pipeline","Appointment Scheduled","425000","https://www.zillow.com/homedetails/153-Knapp-Ave-Hamilton-NJ-08610/38986438_zpid/ | Agent: ARMANDO PINA 973-333-2959 | 9 days on market | Opening offer $278,500 / MAO ceiling $316,500"
"189 Regina Ave, Hamilton, NJ 08619","Sales Pipeline","Appointment Scheduled","429000","https://www.zillow.com/homedetails/189-Regina-Ave-Hamilton-NJ-08619/52622698_zpid/ | Agent: Teresa Cunningham 609-802-3564 | Zest $431100 | 10 days on market | Opening offer $281,500 / MAO ceiling $319,620"
"16 Carroll St, Trenton, NJ 08609","Sales Pipeline","Appointment Scheduled","320000","https://www.zillow.com/homedetails/16-Carroll-St-Trenton-NJ-08609/39013907_zpid/ | Agent: Angela Bullock 908-338-5641 | Zest $326900 | 6 days on market | Opening offer $206,500 / MAO ceiling $234,600"
"9 Vicky Ct, Hamilton, NJ 08610","Sales Pipeline","Appointment Scheduled","260000","https://www.zillow.com/homedetails/9-Vicky-Ct-Hamilton-NJ-08610/38983340_zpid/ | Agent: Lee Raphael 845-564-2800 | 83 days on market | Opening offer $165,500 / MAO ceiling $187,800"
"784 Yardville Hamilton Sq, Trenton, NJ 08691","Sales Pipeline","Appointment Scheduled","500000","https://www.zillow.com/homedetails/784-Yardville-Hamilton-Sq-Trenton-NJ-08691/461944114_zpid/ | Agent: ROBERT DEKANSKI 732-827-5344 | Zest $492200 | 52 days on market | Opening offer $321,000 / MAO ceiling $365,000"
"20 Doreen Rd, Hamilton, NJ 08690","Sales Pipeline","Appointment Scheduled","399000","https://www.zillow.com/homedetails/20-Doreen-Rd-Hamilton-NJ-08690/38973779_zpid/ | Agent: Kimberley D. Witkowski 609-216-3127 | Zest $398400 | 6 days on market | Opening offer $260,500 / MAO ceiling $296,220"
"24 Evans Ave, Trenton, NJ 08638","Sales Pipeline","Appointment Scheduled","150000","https://www.zillow.com/homedetails/24-Evans-Ave-Trenton-NJ-08638/39017824_zpid/ | Agent: Tamie McSweeney Pettiford 856-952-7679 | 16 days on market | Opening offer $94,000 / MAO ceiling $107,000"
"156 Washington St, Trenton, NJ 08611","Sales Pipeline","Appointment Scheduled","215000","https://www.zillow.com/homedetails/156-Washington-St-Trenton-NJ-08611/39020866_zpid/ | Agent: BRIGIDA J. SUQUILANDA 609-890-3300 | Zest $215100 | 54 days on market | Opening offer $134,500 / MAO ceiling $152,700"
"133 Cornwall Ave, Trenton, NJ 08618","Sales Pipeline","Appointment Scheduled","399999","https://www.zillow.com/homedetails/133-Cornwall-Ave-Trenton-NJ-08618/39032522_zpid/ | Agent: Vanessa Kieling 856-418-4153 | Zest $403300 | 39 days on market | Opening offer $261,500 / MAO ceiling $296,999"
"78 Liberty St, Trenton, NJ 08611","Sales Pipeline","Appointment Scheduled","325000","https://www.zillow.com/homedetails/78-Liberty-St-Trenton-NJ-08611/39023842_zpid/ | Agent: Gino Hernandez-Villavizar 609-815-5979 | Zest $322700 | 21 days on market | Opening offer $210,000 / MAO ceiling $238,500"
