"Rank","Priority","LeadScore","City","State","Address","Beds","Baths","SqFt","PropertyType","DOM","DealType","AskingPrice","OpeningOffer","Contact","Phone","PhoneType","Brokerage","MLS","ListingURL","Status","Notes"
"1","High","95","Shreveport","LA","2503 Highland Ave","3","2","1758","Single Family","87","Motivated / Cash","14900","10500","Vinh Nguyen","(318) 868-3600","Direct/Office","Century 21 Elite","21214903","https://www.zillow.com/homedetails/2503-Highland-Ave-Shreveport-LA-71104/51335784_zpid/","Not Contacted","Very low asking price; cash or conventional financing only; seller invites offers."
"2","High","92","Lake Charles","LA","1802 Rose St","4","2","2101","Single Family","84","Investor / TLC","40000","26000","McCall Nixon","(337) 304-7749","Direct Agent","RE/MAX ONE","SWL26001282","https://www.zillow.com/homedetails/1802-Rose-St-Lake-Charles-LA-70601/242823177_zpid/","Not Contacted","Value-add property; roof replaced in 2023; seller may bundle with 1204 Vickie Ln."
"3","High","90","Houma","LA","3708 Baker Dr","3","1","1064","Single Family","148","Foreclosure / TLC","39900","24500","David Reso","(504) 616-6208","Direct Agent","Audubon Realty, LLC","2538826","https://www.zillow.com/homedetails/3708-Baker-Dr-Houma-LA-70363/213681077_zpid/","Not Contacted","Foreclosure-style opportunity requiring TLC; sold as-is."
"4","High","89","Alexandria","LA","2336 Albert St","3","1","1643","Single Family","1","As-Is / Value Add","44000","25500","Barbara Bonnette","(318) 308-6614","Direct Agent","Louisiana Outdoor Properties, Inc.","11824642","https://www.zillow.com/homedetails/2336-Albert-St-Alexandria-LA-71301/77702810_zpid/","Not Contacted","Needs work and is marketed to investors, flippers and landlords."
"5","High","88","Shreveport","LA","7045 Elsie St","3","2","1752","Single Family","234","Investor Special","50000","31000","Megan Long","(318) 233-1045","Direct/Office","Pinnacle Realty Advisors","21088286","https://www.zillow.com/homedetails/7045-Elsie-St-Shreveport-LA-71108/51372080_zpid/","Not Contacted","Long days on market; explicitly marketed as an investor special needing TLC."
"6","High","86","Lake Charles","LA","205 Thelma Ln","4","2","1508","Single Family","65","As-Is / Repairs","55000","34000","Rosy Hernandez","(337) 563-9598","Direct Agent","Century 21 Bono Realty","SWL26001348","https://www.zillow.com/homedetails/205-Thelma-Ln-Lake-Charles-LA-70611/77617654_zpid/","Not Contacted","Needs repairs and updates; seller will not make repairs or connect utilities."
"7","High","85","Shreveport","LA","425 Columbia St","5","3","2035","Single Family","1","As-Is / Major Rehab","65000","37500","Sydney Cowgill","(318) 233-1045","Direct/Office","Pinnacle Realty Advisors","21299677","https://www.zillow.com/homedetails/425-Columbia-St-Shreveport-LA-71104/51336449_zpid/","Not Contacted","Requires extensive repairs; seller will make no repairs; some major systems reportedly updated."
"8","Medium","83","Baton Rouge","LA","2684 Iroquois St","4","2","2115","Single Family","2","Major Rehab / As-Is","65000","37500","TLeice Beaulieu / Terrica Matthews","(225) 921-1511","Brokerage Office","Premier Property and Consulting Group, LLC","2026010195","https://www.zillow.com/homedetails/2684-Iroquois-St-Baton-Rouge-LA-70805/66245532_zpid/","Not Contacted","Significant repairs required; inspection for information only; utilities are off."
"9","Medium","82","Lake Charles","LA","1204 Vickie Ln","3","2","1500","Single Family","70","Renovation / Package","63500","39500","McCall Nixon","(337) 304-7749","Direct Agent","RE/MAX ONE","SWL26001296","https://www.zillow.com/homedetails/1204-Vickie-Ln-Lake-Charles-LA-70607/443249470_zpid/","Not Contacted","Renovation opportunity; seller may bundle with 1802 Rose St."
"10","Medium","81","Slidell","LA","3218 College St","4","2","1545","Single Family","105","Renovation Special","73000","45500","Jeff Breland","(504) 415-2652","Direct Agent","Century 21 Investment Realty","2543303","https://www.zillow.com/homedetails/3218-College-St-Slidell-LA-70458/96231395_zpid/","Not Contacted","Seller does not guarantee condition; utilities will not be turned on."
"11","Medium","80","Lake Charles","LA","1614 Kayouche St","3","3","2594","Single Family","86","Foreclosure / REO","84900","51000","Rohn J McManus","(337) 884-7646","Direct Agent","Bayou State R.E. Group, LLC","SWL26000531","https://www.zillow.com/homedetails/1614-Kayouche-St-Lake-Charles-LA-70615/77608076_zpid/","Not Contacted","Large value-add property marketed directly to investors."
"12","Medium","79","New Orleans","LA","2737 Bristol Pl","3","1","1343","Single Family","15","FSBO / Gutted Rehab","89000","49000","Property Owner","(504) 323-6211","Owner Direct","For Sale By Owner","FSBO","https://www.zillow.com/homedetails/2737-Bristol-Pl-New-Orleans-LA-70131/73826543_zpid/","Not Contacted","Demo largely complete and gutted to studs; owner provides renovation/ARV claims that require verification."
"13","Watch","73","Baton Rouge","LA","16438 Vermillion Dr","3","2","1021","Single Family","2","Short Sale / As-Is","80000","60000","Michelle Knobloch / Tony Nguyen","(225) 768-1800","Brokerage Office","Keller Williams Realty Red Stick Partners","2026010735","https://www.zillow.com/homedetails/16438-Vermillion-Dr-Baton-Rouge-LA-70819/66360785_zpid/","Not Contacted","Short sale; additional lender approval and timing risk may apply."
"14","Watch","72","Lafayette","LA","334 Carver St","4","3","2194","Single Family","21","TLC / Investor","90000","58500","Charles Ilonya / Nah Senpeng","(337) 735-9300","Brokerage Office","Keller Williams Realty Acadiana","2600004220","https://www.zillow.com/homedetails/334-Carver-St-Lafayette-LA-70501/77677452_zpid/","Not Contacted","Large home marketed to investors/homeowners willing to complete improvements."
