"Market","Address","Price","SuggestedOffer","Beds","Baths","Sqft","DOM","LeadClue","Agent","Phone","Brokerage","OfferText","URL"
"Baton Rouge, LA","3938 Alliquippa St, Baton Rouge, LA 70805","12000","8000","2","1","721","321","Boarded-up; major repair/reconstruction; as-is/where-is; cash listing terms","Nathan Geschke; Darren James","877-366-2213","LPT Realty, LLC","Hi Nathan Geschke, is 3938 Alliquippa St still available? I’m a cash investor looking for as-is opportunities and can move quickly if the numbers work. Would the seller consider around $8,000, subject to walkthrough and final due diligence?","https://www.zillow.com/homedetails/3938-Alliquippa-St-Baton-Rouge-LA-70805/443097859_zpid/"
"Detroit, MI","13982 Kentucky St, Detroit, MI 48238","14999","10500","2","1","1080","154","Fixer-upper; as-is; priced for quick sale; rental/flip language","Steve Koleno","804-656-5007","Beycome Brokerage Realty LLC","Hi Steve Koleno, is 13982 Kentucky St still available? I’m a cash investor looking for as-is opportunities and can move quickly if the numbers work. Would the seller consider around $10,500, subject to walkthrough and final due diligence?","https://www.zillow.com/homedetails/13982-Kentucky-St-Detroit-MI-48238/88248790_zpid/"
"Birmingham, AL","1208 31st St SW, Birmingham, AL 35221","15000","10000","2","1","2200","35","Fire damage; full renovation; investor/flipper/contractor language; as-is; cash/renovation loans only","Koty Ray","205-451-4224","Rays Realty Group LLC","Hi Koty Ray, is 1208 31st St SW still available? I’m a cash investor looking for as-is opportunities and can move quickly if the numbers work. Would the seller consider around $10,000, subject to walkthrough and final due diligence?","https://www.zillow.com/homedetails/1208-31st-St-SW-Birmingham-AL-35221/1009257_zpid/"
"Baton Rouge, LA","3851 Uncas St, Baton Rouge, LA 70805","17000","12000","2","1","1000","312","Fixer upper; motivated seller; bring all offers; cash listing terms","Kendall Plain","225-571-5958","Plain & Associates LLC","Hi Kendall Plain, is 3851 Uncas St still available? I’m a cash investor looking for as-is opportunities and can move quickly if the numbers work. Would the seller consider around $12,000, subject to walkthrough and final due diligence?","https://www.zillow.com/homedetails/3851-Uncas-St-Baton-Rouge-LA-70805/66257943_zpid/"
"Birmingham, AL","528 1st St SW, Birmingham, AL 35211","18000","11500","2","1","1044","227","Partially gutted; as-is; cash only; best-offer language","Cerita Tucker Smith","205-222-0270","ReGroup Sales and Development","Hi Cerita Tucker Smith, is 528 1st St SW still available? I’m a cash investor looking for as-is opportunities and can move quickly if the numbers work. Would the seller consider around $11,500, subject to walkthrough and final due diligence?","https://www.zillow.com/homedetails/528-1st-St-SW-Birmingham-AL-35211/990633_zpid/"
"Birmingham, AL","937 Avenue S, Birmingham, AL 35214","19999","14000","3","1","1184","19","Investor special; cash/hard money only; as-is; no seller repairs; contact listing agent for access","Conor McIlreavy","205-600-9965","LPT Realty LLC","Hi Conor McIlreavy, is 937 Avenue S still available? I’m a cash investor looking for as-is opportunities and can move quickly if the numbers work. Would the seller consider around $14,000, subject to walkthrough and final due diligence?","https://www.zillow.com/homedetails/937-Avenue-S-Birmingham-AL-35214/940128_zpid/"
"Detroit, MI","13166 Montville Pl, Detroit, MI 48238","20500","14500","2","1","818","115","Owner needs sold now; fixer-upper; agent says call for appointment/best deal","Mark Poloney","248-375-4000","RE/MAX First","Hi Mark Poloney, is 13166 Montville Pl still available? I’m a cash investor looking for as-is opportunities and can move quickly if the numbers work. Would the seller consider around $14,500, subject to walkthrough and final due diligence?","https://www.zillow.com/homedetails/13166-Montville-Pl-Detroit-MI-48238/88273220_zpid/"
"Detroit, MI","19760 Rowe St, Detroit, MI 48205","24900","17500","2","1","835","36","Cash-only fixer upper; TLC; could be tenant-ready after updates","Dean Gozowsky","248-380-8800","Keller Williams Advantage","Hi Dean Gozowsky, is 19760 Rowe St still available? I’m a cash investor looking for as-is opportunities and can move quickly if the numbers work. Would the seller consider around $17,500, subject to walkthrough and final due diligence?","https://www.zillow.com/homedetails/19760-Rowe-St-Detroit-MI-48205/88406428_zpid/"
"Detroit, MI","3952 Bluehill St, Detroit, MI 48224","25000","17500","2","1","560","67","Fixer-upper; solid bones; investor/build-equity language; cash/contract/FHA 203K terms","Nicholas M Zeoli; Joshua Cedeno","248-860-3268; 855-450-0442","Real Broker, LLC","Hi Nicholas M Zeoli, is 3952 Bluehill St still available? I’m a cash investor looking for as-is opportunities and can move quickly if the numbers work. Would the seller consider around $17,500, subject to walkthrough and final due diligence?","https://www.zillow.com/homedetails/3952-Bluehill-St-Detroit-MI-48224/88163620_zpid/"
"Toledo, OH","3305 N Detroit Ave, Toledo, OH 43610","25000","17500","3","1","1259","110","Fixer upper; add to rental portfolio; selling AS-IS; package potential with 3309 N Detroit","Kristin Brewer","419-508-1429","Serenity Realty LLC","Hi Kristin Brewer, is 3305 N Detroit Ave still available? I’m a cash investor looking for as-is opportunities and can move quickly if the numbers work. Would the seller consider around $17,500, subject to walkthrough and final due diligence?","https://www.zillow.com/homedetails/3305-N-Detroit-Ave-Toledo-OH-43610/34631638_zpid/"
"Detroit, MI","18985 Monica St, Detroit, MI 48221","65000","48000","3","1","1385","2","Investor special; fire damage; gutted; as-is; ARV mentioned","Grace Darfour","888-501-7085","EXP Realty Main","Hi Grace Darfour, is 18985 Monica St still available? I’m a cash investor looking for as-is opportunities and can move quickly if the numbers work. Would the seller consider around $48,000, subject to walkthrough and final due diligence?","https://www.redfin.com/MI/Detroit/18985-Monica-St-48221/home/61265392"
"Detroit, MI","16410 Novara St, Detroit, MI 48205","17400","12000","3","1","868","","Very low-price distressed search match","Corey Fuller; Jamie Proper","248-963-0505","Brookstone, Realtors LLC","Hi Corey Fuller, is 16410 Novara St still available? I’m a cash investor looking for as-is opportunities and can move quickly if the numbers work. Would the seller consider around $12,000, subject to walkthrough and final due diligence?","https://www.zillow.com/homedetails/16410-Novara-St-Detroit-MI-48205/88193375_zpid/"
