"City","Zillow Search URL"
"Columbia, SC","https://www.zillow.com/columbia-sc/"
"Greenville, SC","https://www.zillow.com/greenville-sc/"
"Charleston, SC","https://www.zillow.com/charleston-sc/"
"North Charleston, SC","https://www.zillow.com/north-charleston-sc/"
"Spartanburg, SC","https://www.zillow.com/spartanburg-sc/"
"Rock Hill, SC","https://www.zillow.com/rock-hill-sc/"
"Florence, SC","https://www.zillow.com/florence-sc/"
"Sumter, SC","https://www.zillow.com/sumter-sc/"
"Lexington, SC","https://www.zillow.com/lexington-sc/"
"Anderson, SC","https://www.zillow.com/anderson-sc/"
"Aiken, SC","https://www.zillow.com/aiken-sc/"
"Myrtle Beach, SC","https://www.zillow.com/myrtle-beach-sc/"
"Greenwood, SC","https://www.zillow.com/greenwood-sc/"
"Orangeburg, SC","https://www.zillow.com/orangeburg-sc/"
