"City","State","Zip","Keyword","Google Dork Query","Google Search URL"
"Austin","TX","78702","fixer upper","site:zillow.com ""fixer upper"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22fixer%20upper%22%20%2278702%22"
"Austin","TX","78702","TLC","site:zillow.com ""TLC"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22TLC%22%20%2278702%22"
"Austin","TX","78702","handyman special","site:zillow.com ""handyman special"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22handyman%20special%22%20%2278702%22"
"Austin","TX","78702","as-is","site:zillow.com ""as-is"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22as-is%22%20%2278702%22"
"Austin","TX","78702","investor special","site:zillow.com ""investor special"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22investor%20special%22%20%2278702%22"
"Austin","TX","78702","probate","site:zillow.com ""probate"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22probate%22%20%2278702%22"
"Austin","TX","78702","must sell","site:zillow.com ""must sell"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22must%20sell%22%20%2278702%22"
"Austin","TX","78702","needs work","site:zillow.com ""needs work"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22needs%20work%22%20%2278702%22"
"Austin","TX","78702","cash only","site:zillow.com ""cash only"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22cash%20only%22%20%2278702%22"
"Austin","TX","78702","motivated seller","site:zillow.com ""motivated seller"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22motivated%20seller%22%20%2278702%22"
"Austin","TX","78702","estate sale","site:zillow.com ""estate sale"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22estate%20sale%22%20%2278702%22"
"Austin","TX","78702","bring offers","site:zillow.com ""bring offers"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22bring%20offers%22%20%2278702%22"
"Austin","TX","78702","distressed","site:zillow.com ""distressed"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22distressed%22%20%2278702%22"
"Austin","TX","78702","tear down","site:zillow.com ""tear down"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22tear%20down%22%20%2278702%22"
"Austin","TX","78702","sold as-is","site:zillow.com ""sold as-is"" ""78702""","https://www.google.com/search?q=site%3Azillow.com%20%22sold%20as-is%22%20%2278702%22"
"Dallas","TX","75223","fixer upper","site:zillow.com ""fixer upper"" ""75223""","https://www.google.com/search?q=site%3Azillow.com%20%22fixer%20upper%22%20%2275223%22"
"Dallas","TX","75223","TLC","site:zillow.com ""TLC"" ""75223""","https://www.google.com/search?q=site%3Azillow.com%20%22TLC%22%20%2275223%22"
"Dallas","TX","75223","handyman special","site:zillow.com ""handyman special"" ""75223""","https://www.google.com/search?q=site%3Azillow.com%20%22handyman%20special%22%20%2275223%22"
"Dallas","TX","75223","as-is","site:zillow.com ""as-is"" ""75223""","https://www.google.com/search?q=site%3Azillow.com%20%22as-is%22%20%2275223%22"
"Dallas","TX","75223","investor special","site:zillow.com ""investor special"" ""75223""","https://www.google.com/search?q=site%3Azillow.com%20%22investor%20special%22%20%2275223%22"
"Dallas","TX","75223","probate","site:zillow.com ""probate"" ""75223""","https://www.google.com/search?q=site%3Azillow.com%20%22probate%22%20%2275223%22"
"Dallas","TX","75223","must sell","site:zillow.com ""must sell"" ""75223""","https://www.google.com/search?q=site%3Azillow.com%20%22must%20sell%22%20%2275223%22"
"Dallas","TX","75223","needs work","site:zillow.com ""needs work"" ""75223""","https://www.google.com/search?q=site%3Azillow.com%20%22needs%20work%22%20%2275223%22"
