"City","Address","Zillow URL"
"Austin, TX","606 Springdale Rd, Austin, TX 78702","https://www.zillow.com/homedetails/606-Springdale-Rd-Austin-TX-78702/29383517_zpid/"
"Dallas, TX","623 Parkview Ave, Dallas, TX 75223","https://www.zillow.com/homedetails/623-Parkview-Ave-Dallas-TX-75223/26684876_zpid/"
"Houston, TX","5021 Malmedy Rd, Houston, TX 77033","https://www.zillow.com/homes/5021-Malmedy-Rd-Houston-TX-77033_rb/"
"San Antonio, TX","211 Isabel St, San Antonio, TX 78210","https://www.zillow.com/homedetails/211-Isabel-St-San-Antonio-TX-78210/26142159_zpid/"
"Fort Worth, TX","4108 Pate Dr, Fort Worth, TX 76119","https://www.zillow.com/homedetails/4108-Pate-Dr-Fort-Worth-TX-76119/61882237_zpid/"
"Orlando, FL","4448 King Cole Blvd, Orlando, FL 32811","https://www.zillow.com/homedetails/4448-King-Cole-Blvd-Orlando-FL-32811/46064334_zpid/"
"Tampa, FL","209 S 24th St, Tampa, FL 33605","https://www.zillow.com/homes/209-S-24th-St-Tampa-FL-33605_rb/"
"Jacksonville, FL","3659 Cedar Dr, Jacksonville, FL 32207","https://www.zillow.com/homes/3659-Cedar-Dr-Jacksonville-FL-32207_rb/"
"Miami, FL","2295 NW 64th St, Miami, FL 33147","https://www.zillow.com/homedetails/2295-NW-64th-St-Miami-FL-33147/44159089_zpid/"
"St. Petersburg, FL","340 14th St N, Saint Petersburg, FL 33705","https://www.zillow.com/homedetails/340-14th-St-N-Saint-Petersburg-FL-33705/47170109_zpid/"
"Phoenix, AZ","5120 N 10th Way, Phoenix, AZ 85014","https://www.zillow.com/homedetails/5120-N-10th-Way-Phoenix-AZ-85014/316019148_zpid/"
"Tucson, AZ","519 S 5th Ave, Tucson, AZ 85701","https://www.zillow.com/homedetails/519-S-5th-Ave-Tucson-AZ-85701/239060771_zpid/"
"Mesa, AZ","2220 W Dora St APT 114, Mesa, AZ 85201","https://www.zillow.com/homedetails/2220-W-Dora-St-APT-114-Mesa-AZ-85201/7610275_zpid/"
"Columbia, SC","226 Northwood St, Columbia, SC 29201","https://www.zillow.com/homedetails/226-Northwood-St-Columbia-SC-29201/117707427_zpid/"
"Charleston, SC","205 Key Ct, Charleston, SC 29412","https://www.zillow.com/homedetails/205-Key-Ct-Charleston-SC-29412/68392125_zpid/"
"Greenville, SC","206 Cook St, Greenville, SC 29601","https://www.zillow.com/homedetails/206-Cook-St-Greenville-SC-29601/96467861_zpid/"
"Atlanta, GA","1011 Ormewood Ave SE, Atlanta, GA 30316","https://www.zillow.com/homedetails/1011-Ormewood-Ave-SE-Atlanta-GA-30316/35832654_zpid/"
"Augusta, GA","2133 Grand Blvd, Augusta, GA 30901","https://www.zillow.com/homes/2133-Grand-Blvd-Augusta-GA-30901_rb/"
"Savannah, GA","514 E Oglethorpe Ave, Savannah, GA 31401","https://www.zillow.com/homedetails/514-E-Oglethorpe-Ave-Savannah-GA-31401/54472010_zpid/"
"Charlotte, NC","8128 Tiburon Cir, Charlotte, NC 28215","https://www.zillow.com/homedetails/8128-Tiburon-Cir-Charlotte-NC-28215/6207754_zpid/"
"Raleigh, NC","202 N State St, Raleigh, NC 27601","https://www.zillow.com/homedetails/202-N-State-St-Raleigh-NC-27601/6422921_zpid/"
"Greensboro, NC","518 Pine St, Greensboro, NC 27401","https://www.zillow.com/homedetails/518-Pine-St-Greensboro-NC-27401/5920327_zpid/"
"Memphis, TN","2968 New London Pl, Memphis, TN 38115","https://www.zillow.com/homedetails/2968-New-London-Pl-Memphis-TN-38115/161755657_zpid/"
"Birmingham, AL","1705 33rd Ave N, Birmingham, AL 35207","https://www.zillow.com/homedetails/1705-33rd-Ave-N-Birmingham-AL-35207/931685_zpid/"
"Indianapolis, IN","2517 E 13th St, Indianapolis, IN 46201","https://www.zillow.com/homedetails/2517-E-13th-St-Indianapolis-IN-46201/1103379_zpid/"
"Cleveland, OH","2897 E 117th St, Cleveland, OH 44120","https://www.zillow.com/homedetails/2897-E-117th-St-Cleveland-OH-44120/33418059_zpid/"
"Detroit, MI","1690 Burlingame St, Detroit, MI 48206","https://www.zillow.com/homedetails/1690-Burlingame-St-Detroit-MI-48206/88257139_zpid/"
"Baltimore, MD","2708 Wilkens Ave, Baltimore, MD 21223","https://www.zillow.com/homedetails/2708-Wilkens-Ave-Baltimore-MD-21223/36525658_zpid/"
"Kansas City, MO","3714 Benton Blvd, Kansas City, MO 64128","https://www.zillow.com/homedetails/3714-Benton-Blvd-Kansas-City-MO-64128/2355907_zpid/"
"Las Vegas, NV","1700 Marlin Ave, Las Vegas, NV 89101","https://www.zillow.com/homedetails/1700-Marlin-Ave-Las-Vegas-NV-89101/7015963_zpid/"
"Denver, CO","2831 Lawrence St, Denver, CO 80205","https://www.zillow.com/homedetails/2831-Lawrence-St-Denver-CO-80205/13307630_zpid/"
"Oklahoma City, OK","731 SE Grand Blvd, Oklahoma City, OK 73129","https://www.zillow.com/homedetails/731-SE-Grand-Blvd-Oklahoma-City-OK-73129/118614024_zpid/"
